name,639-1,639-2/B,639-2/T,639-3,baidu,caiyun,deepl,google,m2m100,mbart-50,mymemory,mymemory-short,nllb,papago,youdao
Abkhazian,ab,abk,,,,,,ab,,,,,,,
Achinese Latin,,,,,,,,,,,,,ace_Latn,,
Achinese,,ace,,ace,,,,ace,,,,,ace_Arab,,
Acoli,,ach,,,ach,,,ach,,,,,,,
Afrikaans,af,afr,,afr_Latn,afr,,,af,__af__,af_ZA,af-ZA,af,afr_Latn,,af
Akan,ak,aka,,aka,aka,,,ak,,,,,aka_Latn,,
Albanian,sq,alb,sqi,,alb,,,sq,__sq__,,sq-AL,sq,,,sq
Algerian Arabic,,,,arq,arq,,,,,,,,,,
Alur,,,,alz,,,,alz,,,,,,,
Amharic,am,amh,,amh_Ethi,amh,,,am,__am__,,am-ET,am,amh_Ethi,,am
Antigua and Barbuda Creole English,,,,aig,,,,,,,aig-AG,aig,,,
Arabic,ar,ara,,,ara,,AR,ar,__ar__,ar_AR,ar-SA,ar,,ar,ar
Aragonese,an,arg,,arg,arg,,,,,,,,,,
Armenian,hy,arm,hye,hye_Armn,arm,,,hy,__hy__,,hy-AM,hy,hye_Armn,,hy
Assamese,as,,,asm,asm,,,as,,,,,asm_Beng,,
Asturian,,ast,,ast_Latn,ast,,,,__ast__,,,,ast_Latn,,
Awadhi,,awa,,awa,,,,awa,,,,,awa_Deva,,
Ayacucho Quechua,,,,quy,,,,,,,,,quy_Latn,,
Aymara,ay,aym,,,aym,,,ay,,,,,,,
Azerbaijani,az,aze,,,aze,,,az,__az__,az_AZ,az-AZ,az,,,az
Bahamas Creole English,,,,bah,,,,,,,bah-BS,bah,,,
Bajan,,,,bjs,,,,,,,bjs-BB,bjs,,,
Balinese,,ban,,ban,,,,ban,,,,,ban_Latn,,
Baluchi,,bal,,,bal,,,,,,,,,,
Bambara,bm,bam,,bam,,,,bm,,,,,bam_Latn,,
Banjar Latin,,,,,,,,,,,,,bjn_Latn,,
Banjar,,,,bjn,,,,,,,,,bjn_Arab,,
Barí,,,,mot,mot,,,,,,,,,,
Bashkir,ba,bak,,bak_Cyrl,bak,,,ba,__ba__,,,,bak_Cyrl,,
Basque,eu,eus,baq,eus,baq,,,eu,,,eu-ES,eu,eus_Latn,,eu
Batak Karo,,,,btx,,,,btx,,,,,,,
Batak Simalungun,,,,bts,,,,bts,,,,,,,
Batak Toba,,,,bbc,,,,bbc,,,,,,,
Belarusian,be,bel,,bel_Cyrl,bel,,,be,__be__,,be-BY,be,bel_Cyrl,,be
Bemba,,bem,,bem,bem,,,bem,,,bem-ZM,bem,bem_Latn,,
